"",""," (1) ",""," (2) ","","(1)-(2)"
"","","0","","1","","Pairwise t-test"
"Variable","N/Clusters","Mean/(SE)","N/Clusters","Mean/(SE)","N/Clusters","Mean difference"
"(mean) food","16650","4.776","26255","4.818","42905","-0.042"
"","186","(0.024)","320","(0.018)","506",""
"(mean) porc_food","16610","0.758","26186","0.766","42796","-0.008"
"","186","(0.008)","320","(0.006)","506",""
"(mean) medicine","16863","0.743","26573","0.680","43436","0.063"
"","186","(0.035)","320","(0.026)","506",""
"(mean) porc_med","16616","0.057","26189","0.051","42805","0.005"
"","186","(0.003)","320","(0.002)","506",""
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Significance: ***=.01, **=.05, *=.1. Errors are clustered at variable: [claveofi]. Full user input as written by user: [iebaltab food porc_food medicine porc_med , grpvar(contba) vce(cluster claveofi) rowvarlabels savecsv(""C:/Users/FELIPEME/Dropbox/Aplicaciones/Overleaf/progresa_cct/tables/balance_HH.csv"") replace] ","","","","","",""
