"",""," (1) ",""," (2) ","","(1)-(2)"
"","","0","","Localidad de tratamiento de la ENCEL original","","Pairwise t-test"
"Variable","N/Clusters","Mean/(SE)","N/Clusters","Mean/(SE)","N/Clusters","Mean difference"
"Worked","7159","0.373","11145","0.396","18304","-0.024*"
"","186","(0.010)","315","(0.008)","501",""
"Days worked per week","7136","1.423","11109","1.510","18245","-0.088"
"","186","(0.045)","315","(0.037)","501",""
"Hours worked per day","7139","2.115","11109","2.248","18248","-0.133"
"","186","(0.065)","315","(0.052)","501",""
"Lives alone","7525","0.085","11729","0.095","19254","-0.010"
"","186","(0.007)","315","(0.006)","501",""
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Significance: ***=.01, **=.05, *=.1. Errors are clustered at variable: [claveofi]. Full user input as written by user: [iebaltab work days_week hours_day live_alone if age97>=65, grpvar(contba) vce(cluster claveofi) rowvarlabels savecsv(""C:/Users/FELIPEME/Dropbox/Aplicaciones/Overleaf/progresa_cct/tables/elderly_balance.csv"") replace] ","","","","","",""
