"",""," (1) ",""," (2) ","","(1)-(2)"
"","","0","","1","","Pairwise t-test"
"Variable","N/Clusters","Mean/(SE)","N/Clusters","Mean/(SE)","N/Clusters","Mean difference"
"(mean) food","3679","4.650","5651","4.687","9330","-0.037"
"","186","(0.022)","315","(0.019)","501",""
"(mean) porc_food","3667","0.798","5630","0.817","9297","-0.019**"
"","186","(0.007)","315","(0.006)","501",""
"(mean) medicine","3769","0.837","5799","0.767","9568","0.071"
"","186","(0.050)","315","(0.032)","501",""
"(mean) porc_med","3666","0.072","5632","0.067","9298","0.006"
"","186","(0.005)","315","(0.003)","501",""
"If the table includes missing values (.n, .o, .v etc.) see the Missing values section in the help file for the Stata command iebaltab for definitions of these values. Significance: ***=.01, **=.05, *=.1. Errors are clustered at variable: [claveofi]. Full user input as written by user: [iebaltab food porc_food medicine porc_med if elderly97>=1, grpvar(contba) vce(cluster claveofi) rowvarlabels savecsv(""C:/Users/FELIPEME/Dropbox/Aplicaciones/Overleaf/progresa_cct/tables/elderly_balance_HH.csv"") replace] ","","","","","",""
